Filenév,Klíma,Kontinens
koala.jpg,Szubtrópusi,Ausztrália
kenguru.jpg,Átmeneti,Ausztrália
orang.jpg,Egyenlítői,Ázsia
elef_azsia.jpg,Trópusi monszun,Ázsia
bogomajom.jpg,Egyenlítői,Dél-Amerika
galleros_pavian.jpg,Átmeneti,Afrika
vizidiszno.jpg,Szubtrópusi,Dél-Amerika
kojot.jpg,Száraz kontinentális,Észak-Amerika
rozsomak.jpg,Sarkköri,"Észak-Amerika, Európa"
macaw.jpg,"Egyenlítői, Átmeneti, Szubtrópusi",Dél-Amerika
vaddiszno.jpg,"Nedves kontinentális, Óceáni, Szubtrópusi","Európa, Ázsia"
gimszarvas.jpg,"Száraz kontinentális, Nedves kontinentális, Óceáni, Szubtrópusi",Európa
prerikutya.jpg,Száraz kontinentális,Észak-Amerika
afrelef.jpg,Átmeneti,Afrika
sivatagiroka.jpg,Térítői,Afrika
gnu.jpg,Átmeneti,Afrika
jegesmedve.jpg,Sarki,"Európa, Észak-Amerika"
gekko.jpg,Szubtrópusi,"Európa, Ázsia"
panda.jpg,Mérsékelt övi monszun,Ázsia
teve2.jpg,Mérsékelt övi sivatag,Ázsia
tarpan.jpg,Száraz kontinentális,"Európa, Ázsia"
renszarvas.jpg,Sarkköri,"Európa, Észak-Amerika"
urge.jpg,Száraz kontinentális,Európa
hangyasz.jpg,Átmeneti,Dél-Amerika
kolibri.jpg,Szubtrópusi,"Dél-Amerika, Észak-Amerika"
jaguar.jpg,"Egyenlítői, Átmeneti",Dél-Amerika
sarkiroka.jpg,Sarkköri,"Észak-Amerika, Európa"
csaszarpingvin.jpg,Sarki,Antarktisz
kispingvin.jpg,Óceáni,Ausztrália
boleny.jpg,Száraz kontinentális,Észak-Amerika
indiaitigris.jpg,Trópusi monszun, Ázsia


