,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17
Student 1,1,0,1,0.6,1,0,0,0.2,0,0,0,0,0,0,0.4,1,1
Student 2,1,1,1,0.6,1,0.2,0.2,1,0.6,0.4,0,0.2,0.4,0.3,0.8,1,1
Student 3,1,0,1,0.2,0.6,0.6,0,0.2,0.4,0.4,0.2,0,0.1,0,0.6,1,1
Student 4,1,1,1,0.4,1,0.2,0.2,1,0,0.4,0.4,0.6,1,0.1,0.4,1,0.2
Student 5,1,1,1,1,1,0.4,0.4,1,0.8,0.8,0.6,0.8,1,1,1,0.4,0.6
Student 6,1,1,1,0.4,1,1,1,1,0,0,0.4,0,0.8,0,1,1,1
Student 7,0.5,1,1,0.6,1,0.4,1,1,0.6,1,0.8,0.8,0.8,1,0.8,0.6,1
Student 8,1,0,0,0.6,1,0.2,0,0.2,0.2,0.2,0,0.4,0.7,0,0.4,0.4,0.4
Student 9,0,1,1,0,0,0.6,1,0.4,0,1,0.2,0,0.4,0.5,0.6,0.8,1
Student 10,1,1,1,1,1,0.4,0,1,0.2,0,0.2,0,0.8,0,0.6,0.2,0.8
Student 11,1,0,0.5,1,0.6,0,0,0.4,0,0.2,0,0,0,0.2,0.6,0.4,0.4
Student 12,1,0,1,0.6,0.4,0,0,0.4,0.6,0.2,0.2,0,0.6,0,0.6,1,0.6
Student 13,1,1,1,0.6,1,0,0.2,0.4,0,0.4,0.2,0,1,0.1,0.4,0.8,0.6
Student 14,0,0.5,1,0,0.4,0,0.4,0,0,0,0.2,0.8,0.5,1,0.2,0.8,1
Student 15,1,1,1,1,1,1,0.6,1,1,0.6,0.6,0.8,1,0.9,0.8,1,1
Student 16,1,1,1,0,1,0,1,0.8,0.2,0,0.4,0.4,0.5,0,0.4,0.4,0.4
Student 17,1,1,1,0,0,1,1,1,0,1,1,0.8,0.8,0.3,0.8,0.2,0.4
Student 18,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,0.6,0.8
Student 19,0,1,1,0.4,0.6,0,0,0.8,0,0.8,0.2,1,0.6,0,0.6,0.2,0.6
Student 20,1,1,1,0.4,1,1,1,1,0.8,1,1,1,1,0.8,0.6,1,0.6
